learning_rate,batch_size,train_freq,gradient_steps,ent_coef,learning_starts,buffer_size,policy_kwargs,reward
0.0001,64,1,4,0.01,10000,500000,"{'net_arch': [400, 300], 'use_sde': False}",145.3981944668293
0.0001,64,1,4,0.01,20000,100000,"{'net_arch': [128, 128], 'use_sde': False}",24.586090000867845
0.0001,64,1,4,0.01,20000,100000,"{'net_arch': [256, 256], 'use_sde': False}",11.54101146042347
0.0001,64,1,4,0.01,20000,100000,"{'net_arch': [400, 300], 'use_sde': False}",25.313120849132538
0.0001,64,1,4,0.01,20000,1000000,"{'net_arch': [128, 128], 'use_sde': False}",20.000202159881592
0.0001,64,1,4,0.01,20000,1000000,"{'net_arch': [256, 256], 'use_sde': False}",18.03705864191055
0.0001,64,1,4,0.01,20000,1000000,"{'net_arch': [400, 300], 'use_sde': False}",17.275579631328583
0.0001,64,1,4,0.01,20000,500000,"{'net_arch': [128, 128], 'use_sde': False}",20.217856577634812
0.0001,64,1,4,0.01,20000,500000,"{'net_arch': [256, 256], 'use_sde': False}",36.72477671086788
0.0001,64,1,4,0.01,20000,500000,"{'net_arch': [400, 300], 'use_sde': False}",21.30742839217186
0.0001,64,1,5,auto,5000,100000,"{'net_arch': [128, 128], 'use_sde': False}",227.46823496580123
0.0001,64,1,5,auto,5000,100000,"{'net_arch': [256, 256], 'use_sde': False}",387.2422947764397
0.0001,64,1,5,auto,5000,100000,"{'net_arch': [400, 300], 'use_sde': False}",247.74835912942888
0.0001,64,1,5,auto,5000,1000000,"{'net_arch': [128, 128], 'use_sde': False}",229.36054408073426
0.0001,64,1,5,auto,5000,1000000,"{'net_arch': [256, 256], 'use_sde': False}",185.7513967168331
0.0001,64,1,5,auto,5000,1000000,"{'net_arch': [400, 300], 'use_sde': False}",337.5684982299805
0.0001,64,1,5,auto,5000,500000,"{'net_arch': [128, 128], 'use_sde': False}",38.57063672542572
0.0001,64,1,5,auto,5000,500000,"{'net_arch': [256, 256], 'use_sde': False}",113.69615470719523
0.0001,64,1,5,auto,5000,500000,"{'net_arch': [400, 300], 'use_sde': False}",218.3550895380974
0.0001,64,1,5,auto,10000,100000,"{'net_arch': [128, 128], 'use_sde': False}",14.26493239581585
0.0001,64,1,5,auto,10000,100000,"{'net_arch': [256, 256], 'use_sde': False}",135.7607522380352
0.0001,64,1,5,auto,10000,100000,"{'net_arch': [400, 300], 'use_sde': False}",94.17962201714516
0.0001,64,1,5,auto,10000,1000000,"{'net_arch': [128, 128], 'use_sde': False}",21.112333488762378
0.0001,64,1,5,auto,10000,1000000,"{'net_arch': [256, 256], 'use_sde': False}",49.85736229419708
0.0001,64,1,5,auto,10000,1000000,"{'net_arch': [400, 300], 'use_sde': False}",38.1272534430027
0.0001,64,1,5,auto,10000,500000,"{'net_arch': [128, 128], 'use_sde': False}",14.917486114501953
0.0001,64,1,5,auto,10000,500000,"{'net_arch': [256, 256], 'use_sde': False}",52.97953798532486
0.0001,64,1,5,auto,10000,500000,"{'net_arch': [400, 300], 'use_sde': False}",34.653152407635936
0.0001,64,1,5,auto,20000,100000,"{'net_arch': [128, 128], 'use_sde': False}",24.06600687146187
0.0001,64,1,5,auto,20000,100000,"{'net_arch': [256, 256], 'use_sde': False}",40.816249042321
0.0001,64,1,5,auto,20000,100000,"{'net_arch': [400, 300], 'use_sde': False}",17.521661252975463
